,ID урока,Дата старта урока,Роль пользователя,Текст сообщения,Дата сообщения,Разметка
0,307752,2024-03-13 09:51:49,user,https://diresnode.com/; 2024-03-13T10:12:22.638Z,2024-03-13 10:12:22,18
4,352174,2024-03-02 12:50:24,user,если не с хрома или яндекса сидишь то может помочь смена браузера,2024-03-02 13:05:17,10
5,352174,2024-03-02 12:50:24,user,у меня на удивление с duckduckgo всё работает,2024-03-02 13:06:04,9
31,352174,2024-03-02 12:50:24,user,@message,2024-03-02 13:25:24,11
32,352174,2024-03-02 12:50:24,user,@app.on_message(),2024-03-02 13:25:27,11
35,352174,2024-03-02 12:50:24,user,"https://t.me/xczgfssdfasbot
мой бот (не эхо)",2024-03-02 13:38:48,18
38,352174,2024-03-02 12:50:24,user,а можно код для time  записать не успел,2024-03-02 13:54:00,5
39,352174,2024-03-02 12:50:24,user,я себе напортачил можете скинуть код пожалуйста,2024-03-02 13:58:10,10
40,352174,2024-03-02 12:50:24,user,"@app.on_message(filters=filters.command(""year""))
async def echo(client: Client, message: Message):
    await message.reply_text(f""{time.localtime().tm_year}"")",2024-03-02 13:58:40,11
41,352174,2024-03-02 12:50:24,user,а что неправильно просто не работает,2024-03-02 13:59:16,10
45,352174,2024-03-02 12:50:24,user,фулл скинешь?я вставлять нормально не могу,2024-03-02 13:59:42,5
47,352174,2024-03-02 12:50:24,user,"from pyrogram import Client, filters
from pyrogram. types import Message
import config
import time

app = Client(
    api_id=config.API_ID,
    api_hash=config.API_HASH,
    bot_token=config.BOT_TOKEN,
    name=""shycy_bot""
)

@app.on_message(filters=filters.command(""Салам""))
async def echo(client: Client, message: Message):
    await message.reply_text(""Салам бача"")

@app.on_message(filters=filters.command(""year""))
async def echo(client: Client, message: Message):
    await message.reply_text(f""{time.localtime().tm_year}"")

@app.on_message()
async def echo(client: Client, message: Message):
    await message.reply_text(message.text)

app.run()",2024-03-02 14:00:18,11
48,352174,2024-03-02 12:50:24,user,"import config
from pyrogram import Client, filters
from pyrogram.types import Message

app = Client(
    api_id=config.API_ID,
    api_hash=config.API_HASH,
    bot_token=config.BOT_TOKEN,
    name=""учебный бот1""
)

@app.on_message(filters=filters.command(""start""))
async def time_command(client: Client, message: Message):
 await message.reply(""приветик!"")

@app.on_message()
async def echo(client: Client, message: Message):
    await message.reply_text(message.text)

app.run()",2024-03-02 14:00:28,11
50,352174,2024-03-02 12:50:24,user,а когда перерыв?,2024-03-02 14:01:08,4
51,352174,2024-03-02 12:50:24,user,Никита а где у тебя код с time,2024-03-02 14:02:38,5
54,352174,2024-03-02 12:50:24,user,Максим а что у меня не правильно в коде time,2024-03-02 14:03:37,5
55,352174,2024-03-02 12:50:24,user,все равно не работает,2024-03-02 14:07:50,10
56,352174,2024-03-02 12:50:24,user,когда перерыв,2024-03-02 14:07:57,4
67,352174,2024-03-02 12:50:24,user,когда заканчивается?,2024-03-02 14:27:45,4
71,352174,2024-03-02 12:50:24,user,а можете фулл код? я просто не знаю куда вставлять последние две строчки,2024-03-02 14:43:05,5
72,352174,2024-03-02 12:50:24,user,"я просил последние 2 строчки типо фулл скинуть , но спасибо)",2024-03-02 14:43:42,5
74,352174,2024-03-02 12:50:24,user,у нас урок до скольки задержится?,2024-03-02 14:44:36,4
76,352174,2024-03-02 12:50:24,user,а у меня botfather пишет что такого бота не сушествует,2024-03-02 14:49:20,10
78,352174,2024-03-02 12:50:24,user,можете моего бота оценить?,2024-03-02 14:49:47,9
80,352174,2024-03-02 12:50:24,user,Invalid bot selected. ну он вот это пишет,2024-03-02 14:50:10,10
85,361404,2024-03-16 14:51:35,user,есть сетивики у нас?,2024-03-16 15:07:38,4
86,361404,2024-03-16 14:51:35,user,а что на счет урока,2024-03-16 15:08:48,4
91,361404,2024-03-16 14:51:35,user,можите дать код?,2024-03-16 15:09:30,5
97,361404,2024-03-16 14:51:35,user,"def tracert():
    import time
    num_sites_to_check = int(input('Сколько сайтов вы хотите проверить: '))
    russia_sites = []

    for _ in range(num_sites_to_check):
        user_input = input('Введите адрес сайта для проверки: ')
        russia_sites.append(user_input)

    russia_status = {}

    for site in russia_sites:
        print('Проверка сайта...\n')
        cls()
        print('Проверка доступа к сайту(ам)....\n')
        result = os.system(""tracert -w 1 "" + site)
        if result == 0:
            russia_status[site] = f""{Fore.GREEN}да{Fore.WHITE}""
        else:
            russia_status[site] = f""{Fore.RED}нет{Fore.WHITE}""
    cls()
    for i in range(1):
        print(""Доступ к сайтам:\n"")
    for site, status in russia_status.items():
        print(site + "":"", status)
    input()",2024-03-16 15:10:04,11
99,361404,2024-03-16 14:51:35,user,а сама трасировка в другом def,2024-03-16 15:10:45,9
103,361404,2024-03-16 14:51:35,user,в чат группы зайди,2024-03-16 15:11:41,3
122,376424,2024-03-19 15:51:00,user,"import time
from mcpi.minecraft import Minecraft
mc = Minecraft.create()

class Buildings:
    def __init__(self, width, height, length, pos, type):
        self.width = width
        self.height = height
        self.length = length
        self.pos = pos
        self.type = type

    def building(self):
        if self.type == 'коробка':
            self.box()
        elif self.type == ""дерево"":
            self.tree()
        else:
            print('Такого типа постройки нет')

    def tree(self):
        x, y, z = self.pos
        mc.setBlocks(x, y, z, x, y + 4, z, 17)  # Ствол дерева
        mc.setBlocks(x - 3, y + 5, z - 3, x + 3, y + 5, z + 3, 161)  # 1-ый слой листвы
        mc.setBlocks(x - 2, y + 6, z - 2, x + 2, y + 6, z + 2, 161)  # 2-ый слой листвы
        mc.setBlocks(x - 1, y + 7, z - 1, x + 1, y + 7, z + 1, 161)  # 2-ый слой листвы

    def box(self):
        x, y, z = self.pos
        mc.setBlocks(x, y, z, x+self.width, y+self.height, z+self.length, 4)
        mc.setBlocks(x+1, y+1, z+1, x+self.width-1, y+self.height-1, z+self.length-1, 0)

    def clear(self):
        x, y, z = self.pos
        mc.setBlocks(x-self.width, y, z-self.length, x+self.width, y+self.height, z+self.length, 0)

p_pos = mc.player.getTilePos()
house_1 = Buildings(10, 6, 8, p_pos, ""кoробка"")
p_pos.x -= 5
tree_1 =Buildings(0,0,0, p_pos , 'дерево')

house_1.building()
tree_1.building(); 2024-03-19T17:19:54.302Z",2024-03-19 17:19:54,11
123,376424,2024-03-19 15:51:00,user,У МЕНЯ ЗАВИСАНИЕ КЛАВЫ,2024-03-19 17:25:41,10
124,376424,2024-03-19 15:51:00,user,У МЕНЯ ПЕРИОДИЧЕСКИ,2024-03-19 17:26:53,10
131,386141,2024-03-24 11:37:00,user,кстати надо ли включать камеру? просто как то ранше было а сейчас нет,2024-03-24 12:09:02,4
133,386141,2024-03-24 11:37:00,user,тип документа html,2024-03-24 12:20:05,9
139,386141,2024-03-24 11:37:00,user,а писать?,2024-03-24 12:26:57,4
144,386141,2024-03-24 11:37:00,user,ну шо за математика?(,2024-03-24 12:32:38,5
146,386141,2024-03-24 11:37:00,user,"del, code, em",2024-03-24 12:34:46,9
149,386141,2024-03-24 11:37:00,user,а можете вот этот слайд в тг скинуть потом,2024-03-24 12:36:13,4
150,386141,2024-03-24 11:37:00,user,можно контролировать размер картинки?,2024-03-24 12:40:08,5
153,386141,2024-03-24 11:37:00,user,У меня выключен же микрофон?,2024-03-24 12:58:59,10
157,386141,2024-03-24 11:37:00,user,А если до этого сделал?,2024-03-24 13:17:51,4
158,386141,2024-03-24 11:37:00,user,язык разметки,2024-03-24 13:21:39,9
159,386141,2024-03-24 11:37:00,user,Язык разметки гипертекста,2024-03-24 13:21:45,9
161,386141,2024-03-24 11:37:00,user,Для создания сайтов,2024-03-24 13:21:54,9
162,386141,2024-03-24 11:37:00,user,для внешней стороны веб страници,2024-03-24 13:22:00,9
164,386141,2024-03-24 11:37:00,user,Для управления сайтом и создания новых атрибутов,2024-03-24 13:22:27,9
165,386141,2024-03-24 11:37:00,user,для сайта,2024-03-24 13:22:29,9
169,386141,2024-03-24 11:37:00,user,а картинку в ссылку моэно превратить и эту картинку засунуть поверх другой картинки; 2024-03-24T13:24:00.523Z,2024-03-24 13:24:00,5
177,394543,2024-03-27 14:52:15,user,а если не работает микрофон?,2024-03-27 15:55:56,10
178,394543,2024-03-27 14:52:15,user,у меня не доделано((,2024-03-27 15:57:25,10
179,394543,2024-03-27 14:52:15,user,я случайно закрыла редимаг и теперь у меня не получается на свой аккаунт зайти,2024-03-27 16:05:13,10
180,394543,2024-03-27 14:52:15,user,демонстрацию да,2024-03-27 16:07:23,4
181,394543,2024-03-27 14:52:15,user,а если без микро,2024-03-27 16:07:34,10
183,394543,2024-03-27 14:52:15,user,можно я на следующем уроке покажу,2024-03-27 16:15:33,4
184,394543,2024-03-27 14:52:15,user,"Всем привет! меня зовут Ева, и сегодня я вам представлю свой сайт, для магазина косметики Sammy Beauty. Этот сайт я создала с помощью: Readymag.Что бы предать более привлекательный вид сайту, мне помогли анимации, плагины, картинки.Так же были сложности, найти красивый а также привлекающий материал.В своём сайте мне-бы хотелось, добавить по больше материала о бренде.",2024-03-27 16:21:49,9
189,395169,2024-03-16 14:49:33,user,обновление на сайте?,2024-03-16 15:02:09,4
205,395169,2024-03-16 14:49:33,user,у меня кода нет(,2024-03-16 15:17:09,10
206,395169,2024-03-16 14:49:33,user,я на другом пк,2024-03-16 15:17:22,10
217,395169,2024-03-16 14:49:33,user,можете сюда код кинуть,2024-03-16 15:20:30,5
222,395169,2024-03-16 14:49:33,user,у меня код не работает,2024-03-16 15:26:26,10
225,395169,2024-03-16 14:49:33,user,я в тг не могу зайти,2024-03-16 15:44:44,10
226,395169,2024-03-16 14:49:33,user,можете пожалуйста код открыть,2024-03-16 15:53:09,5
232,395169,2024-03-16 14:49:33,user,а как пг меню скачать?,2024-03-16 16:07:40,5
234,395169,2024-03-16 14:49:33,user,а вы скинете код?; 2024-03-16T16:27:16.104Z,2024-03-16 16:27:16,4
236,395169,2024-03-16 14:49:33,user,пай гейм меню,2024-03-16 16:28:05,9
246,395169,2024-03-16 14:49:33,user,"у меня нету вопросов, спасибо за урок, до свидания)); 2024-03-16T16:33:43.383Z",2024-03-16 16:33:43,5
261,400149,2024-03-10 11:51:22,user,"расположение его составных частей, взаимосвязь между образами.",2024-03-10 12:06:21,9
276,400149,2024-03-10 11:51:22,user,а у меня нет плюса,2024-03-10 12:33:14,5
277,400149,2024-03-10 11:51:22,user,а всё нашла,2024-03-10 12:33:27,6
278,400149,2024-03-10 11:51:22,user,а как его переместить,2024-03-10 12:33:43,5
279,400149,2024-03-10 11:51:22,user,можно еще раз как между слоями обьекты перемещать,2024-03-10 12:41:02,5
280,400149,2024-03-10 11:51:22,user,я одна какую-то фигню собираю,2024-03-10 12:56:09,5
281,400149,2024-03-10 11:51:22,user,о я это уже собрала,2024-03-10 12:57:47,6
283,400149,2024-03-10 11:51:22,user,а как небо сделать ?,2024-03-10 13:15:37,5
284,400149,2024-03-10 11:51:22,user,сто это за звуки?,2024-03-10 13:18:24,10
292,401941,2024-03-10 13:50:21,user,логично логично\,2024-03-10 13:56:26,6
293,401941,2024-03-10 13:50:21,user,интересно можно включить демонстрацию?,2024-03-10 13:58:21,9
297,401941,2024-03-10 13:50:21,user,микро вклучать?,2024-03-10 14:01:58,4
298,401941,2024-03-10 13:50:21,user,у меня не вклуч,2024-03-10 14:04:45,10
299,401941,2024-03-10 13:50:21,user,у меня не механическая,2024-03-10 14:05:02,10
300,401941,2024-03-10 13:50:21,user,перезайду; 2024-03-10T14:05:10.815Z,2024-03-10 14:05:10,10
313,401941,2024-03-10 13:50:21,user,камера нужна,2024-03-10 14:20:46,9
317,401941,2024-03-10 13:50:21,user,Можно выйти из класса? Не надолго,2024-03-10 14:30:51,4
318,401941,2024-03-10 13:50:21,user,"спасибо, если что я закончил",2024-03-10 14:31:44,6
319,401941,2024-03-10 13:50:21,user,я зарегестриравался,2024-03-10 14:31:57,6
324,401941,2024-03-10 13:50:21,user,нужна помощь,2024-03-10 14:43:34,5
328,401941,2024-03-10 13:50:21,user,Вы оглохли или нет?,2024-03-10 14:49:46,10
336,401941,2024-03-10 13:50:21,user,"А меня в начале не было, я же отходил. Я после урока посмотрю запись как и с чем работать; 2024-03-10T15:01:29.347Z",2024-03-10 15:01:29,4
341,406911,2024-03-01 16:50:57,user,есть одна проблемка!; 2024-03-01T17:00:50.010Z,2024-03-01 17:00:50,10
342,406911,2024-03-01 16:50:57,user,ро БЭМ - поподробнее-)),2024-03-01 17:01:21,9
344,406911,2024-03-01 16:50:57,user,"мне только показалось, что эта методология помогает лучше понять компонентный подход в верстке и разработке вцелом?",2024-03-01 17:05:54,6
349,406911,2024-03-01 16:50:57,user,если 3 тега подряд идут то работает,2024-03-01 17:30:47,6
351,406911,2024-03-01 16:50:57,user,а первое число за что отвечает?,2024-03-01 17:38:14,5
352,406911,2024-03-01 16:50:57,user,первое слово можно вместо первой буквы?,2024-03-01 17:39:54,5
354,406911,2024-03-01 16:50:57,user,можно в чат?; 2024-03-01T17:42:40.709Z,2024-03-01 17:42:40,4
356,406911,2024-03-01 16:50:57,user,«Яндекс.Браузер» — это нейробраузер на движке Blink и оболочке Chromium,2024-03-01 18:08:38,9
359,406911,2024-03-01 16:50:57,user,а радиокнопки это тег?,2024-03-01 18:18:46,5
360,406911,2024-03-01 16:50:57,user,понял),2024-03-01 18:18:59,6
362,406911,2024-03-01 16:50:57,user,а как правильнее задать большой пробел между total и 900$ через разбиение на спан и  margin?,2024-03-01 18:24:24,5
365,406911,2024-03-01 16:50:57,user,Да да  я там еще стрелки у namber отключал хD чтобы макету соответствовало ),2024-03-01 18:30:42,6
367,406911,2024-03-01 16:50:57,user,"он более питонячий, типа отступы и без скобок ?",2024-03-01 18:35:09,5
368,406911,2024-03-01 16:50:57,user,может редактирование к sass не подключено ?,2024-03-01 18:35:59,5
370,406911,2024-03-01 16:50:57,user,а если min-width задать ?,2024-03-01 18:51:06,5
373,352174,2024-03-02 12:50:24,,ЧТО ПРОИСХОДИТ С БОТОМ?,2024-03-02 14:12:38,10
376,352174,2024-03-02 12:50:24,,Я СКОБКИ НЕ НАПИСАЛ,2024-03-02 13:25:18,9
381,417850,2024-03-17 06:54:36,user,один? или все in?,2024-03-17 07:50:30,5
382,417850,2024-03-17 06:54:36,user,стало понятно); 2024-03-17T07:59:13.732Z,2024-03-17 07:59:13,6
385,417853,2024-03-30 06:20:44,user,Хорошо!; 2024-03-30T06:28:44.129Z,2024-03-30 06:28:44,6
389,417856,2024-03-11 16:56:35,user,https://docs.google.com/spreadsheets/d/1TrTgakUtzohjxfAhsjn9Z5frCFtWAvY6L2468r-m5d8/edit?usp=sharing,2024-03-11 17:24:45,18
393,352174,2024-03-02 12:50:24,,https://my.telegram.org/apps,2024-03-02 14:07:10,18
394,358541,2024-03-13 14:50:11,user,а чё все молчат?; 2024-03-13T14:54:14.199Z,2024-03-13 14:54:14,4
