,ID урока,Дата старта урока,Роль пользователя,Текст сообщения,Дата сообщения,Разметка
1,352174,2024-03-02 12:50:24,user,z dfc yt cksie,2024-03-02 13:02:49,15
2,352174,2024-03-02 12:50:24,user,gjxtve nj,2024-03-02 13:02:50,15
3,352174,2024-03-02 12:50:24,user,окей; 2024-03-02T13:03:16.429Z,2024-03-02 13:03:16,12
6,352174,2024-03-02 12:50:24,user,браузер,2024-03-02 13:06:44,12
7,352174,2024-03-02 12:50:24,user,и поисковая система,2024-03-02 13:06:48,12
8,352174,2024-03-02 12:50:24,user,в торе он используется,2024-03-02 13:07:16,12
9,352174,2024-03-02 12:50:24,user,не надо меня спрашивать откуда я это знаю,2024-03-02 13:07:32,12
10,352174,2024-03-02 12:50:24,user,ну вооьще хотелось,2024-03-02 13:08:01,12
11,352174,2024-03-02 12:50:24,user,спросить,2024-03-02 13:08:07,12
12,352174,2024-03-02 12:50:24,user,"а нет, всё, уже сам сделал",2024-03-02 13:08:58,12
13,352174,2024-03-02 12:50:24,user,выдра,2024-03-02 13:12:20,15
14,352174,2024-03-02 12:50:24,user,я все таки пришел,2024-03-02 13:12:58,15
15,352174,2024-03-02 12:50:24,user,это выдрочка?,2024-03-02 13:13:02,16
16,352174,2024-03-02 12:50:24,user,я к тете пришел,2024-03-02 13:13:04,15
17,352174,2024-03-02 12:50:24,user,фласк,2024-03-02 13:14:38,15
18,352174,2024-03-02 12:50:24,user,катя,2024-03-02 13:14:49,15
19,352174,2024-03-02 12:50:24,user,пайгейм,2024-03-02 13:14:55,15
20,352174,2024-03-02 12:50:24,user,АААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА,2024-03-02 13:15:28,15
21,352174,2024-03-02 12:50:24,user,кто зашел +,2024-03-02 13:17:30,15
22,352174,2024-03-02 12:50:24,user,я зошол,2024-03-02 13:18:11,15
23,352174,2024-03-02 12:50:24,user,"ааа я не зашел,я думал что вы имели в виду про конференцию",2024-03-02 13:19:05,15
24,352174,2024-03-02 12:50:24,user,2 100%,2024-03-02 13:19:28,15
25,352174,2024-03-02 12:50:24,user,"я могу только посмотреть конференцию,работать не смогу",2024-03-02 13:19:41,15
26,352174,2024-03-02 12:50:24,user,он нарисован; 2024-03-02T13:20:35.527Z,2024-03-02 13:20:35,12
27,352174,2024-03-02 12:50:24,user,я уже шёл из кода строку воровать,2024-03-02 13:24:39,12
28,352174,2024-03-02 12:50:24,user,он есть,2024-03-02 13:24:59,12
29,352174,2024-03-02 12:50:24,user,но уже поздно,2024-03-02 13:25:08,12
30,352174,2024-03-02 12:50:24,user,молодцы,2024-03-02 13:25:22,12
33,352174,2024-03-02 12:50:24,user,мне chatgpt4 в кодеиуме наконец-то дали,2024-03-02 13:28:21,12
34,352174,2024-03-02 12:50:24,user,бету,2024-03-02 13:28:30,12
36,352174,2024-03-02 12:50:24,user,там не только,2024-03-02 13:40:31,12
37,352174,2024-03-02 12:50:24,user,функция не работает,2024-03-02 13:47:28,12
42,352174,2024-03-02 12:50:24,user,спасибоб ро),2024-03-02 13:59:17,14
43,352174,2024-03-02 12:50:24,user,бро*,2024-03-02 13:59:20,12
44,352174,2024-03-02 12:50:24,user,бот повторяет,2024-03-02 13:59:26,12
46,352174,2024-03-02 12:50:24,user,кода,2024-03-02 13:59:58,12
49,352174,2024-03-02 12:50:24,user,название поменяй только,2024-03-02 14:00:32,12
52,352174,2024-03-02 12:50:24,user,В ПРОЦЕССЕ,2024-03-02 14:03:02,12
53,352174,2024-03-02 12:50:24,user,сейчас делаю его,2024-03-02 14:03:16,12
57,352174,2024-03-02 12:50:24,user,я отходил просто),2024-03-02 14:08:09,12
58,352174,2024-03-02 12:50:24,user,бот все повторяет,2024-03-02 14:08:29,12
59,352174,2024-03-02 12:50:24,user,year,2024-03-02 14:08:47,12
60,352174,2024-03-02 12:50:24,user,а я забыл /,2024-03-02 14:08:59,12
61,352174,2024-03-02 12:50:24,user,бедни,2024-03-02 14:18:24,12
62,352174,2024-03-02 12:50:24,user,плохой антивирус,2024-03-02 14:25:34,12
63,352174,2024-03-02 12:50:24,user,у меня он 1 раз  у себа сам 8удалил,2024-03-02 14:25:59,12
64,352174,2024-03-02 12:50:24,user,меня*,2024-03-02 14:26:09,12
65,352174,2024-03-02 12:50:24,user,ну типо себа на меня,2024-03-02 14:26:34,12
66,352174,2024-03-02 12:50:24,user,360 total security,2024-03-02 14:26:48,12
68,352174,2024-03-02 12:50:24,user,"bv,f",2024-03-02 14:28:13,12
69,352174,2024-03-02 12:50:24,user,ответьте пожалуйста,2024-03-02 14:28:35,12
70,352174,2024-03-02 12:50:24,user,скоро,2024-03-02 14:28:53,12
73,352174,2024-03-02 12:50:24,user,я уже написал),2024-03-02 14:44:03,12
75,352174,2024-03-02 12:50:24,user,до свидания!; 2024-03-02T14:49:14.338Z,2024-03-02 14:49:14,20
77,352174,2024-03-02 12:50:24,user,до свидания; 2024-03-02T14:49:27.210Z,2024-03-02 14:49:27,20
79,352174,2024-03-02 12:50:24,user,до свидания!; 2024-03-02T14:49:48.937Z,2024-03-02 14:49:48,20
81,352174,2024-03-02 12:50:24,user,досвидания; 2024-03-02T14:50:33.076Z,2024-03-02 14:50:33,20
82,352174,2024-03-02 12:50:24,user,он должен работать весь день из-за pythonanywhre,2024-03-02 14:50:45,12
83,352174,2024-03-02 12:50:24,user,до свидания; 2024-03-02T14:50:48.883Z,2024-03-02 14:50:48,20
84,361404,2024-03-16 14:51:35,user,я перывй,2024-03-16 14:51:42,15
87,361404,2024-03-16 14:51:35,user,кому то лень пк запускать),2024-03-16 15:09:00,12
88,361404,2024-03-16 14:51:35,user,его не будет; 2024-03-16T15:09:07.602Z,2024-03-16 15:09:07,12
89,361404,2024-03-16 14:51:35,user,ели приполз,2024-03-16 15:09:14,12
90,361404,2024-03-16 14:51:35,user,"мне тож, но он в спящем был",2024-03-16 15:09:22,12
92,361404,2024-03-16 14:51:35,user,а то меня 3 урока не было),2024-03-16 15:09:36,12
93,361404,2024-03-16 14:51:35,user,я компом хотел заниматься,2024-03-16 15:09:36,12
94,361404,2024-03-16 14:51:35,user,корпус новый купил,2024-03-16 15:09:46,12
95,361404,2024-03-16 14:51:35,user,я код вообще писал,2024-03-16 15:09:49,12
96,361404,2024-03-16 14:51:35,user,я трасировку сделал,2024-03-16 15:09:58,12
98,361404,2024-03-16 14:51:35,user,вот 1 часть),2024-03-16 15:10:15,12
100,361404,2024-03-16 14:51:35,user,впадлу в 1 переносить все,2024-03-16 15:10:52,12
101,361404,2024-03-16 14:51:35,user,ххаххаап,2024-03-16 15:11:29,13
102,361404,2024-03-16 14:51:35,user,хахахахахахахахаххахаха,2024-03-16 15:11:38,13
104,361404,2024-03-16 14:51:35,user,ХАХАХАХАХАХАХАХАХАЦ,2024-03-16 15:11:43,13
105,361404,2024-03-16 14:51:35,user,нафиг мы тут сидим?),2024-03-16 15:11:50,16
106,361404,2024-03-16 14:51:35,user,хахахахахахахахахахаха,2024-03-16 15:11:52,13
107,361404,2024-03-16 14:51:35,user,хахахахахахахахахахахахахаха,2024-03-16 15:12:04,13
108,361404,2024-03-16 14:51:35,user,блять,2024-03-16 15:12:10,16
109,361404,2024-03-16 14:51:35,user,нате я хз,2024-03-16 15:12:17,16
110,361404,2024-03-16 14:51:35,user,я гулять мог идти,2024-03-16 15:12:21,16
111,361404,2024-03-16 14:51:35,user,вот я ваш препод,2024-03-16 15:12:35,15
112,361404,2024-03-16 14:51:35,user,чему вас учить?),2024-03-16 15:12:42,15
113,361404,2024-03-16 14:51:35,user,кто со мной в let for ded,2024-03-16 15:12:46,15
114,361404,2024-03-16 14:51:35,user,payday2; 2024-03-16T15:12:52.091Z,2024-03-16 15:12:52,15
