ID урока,Дата старта урока,Роль пользователя,Текст сообщения,Дата сообщения,Разметка,label
417675,2024-03-14 16:50:21,user,Добрый вечер; 2024-03-14T16:52:23.977Z,2024-03-14 16:52:23,,Приветствие
417675,2024-03-14 16:50:21,user,Есть с направления 1с специалист ?,2024-03-14 16:53:01,,Вопрос о профессии
417675,2024-03-14 16:50:21,user,всем привет! подскажите в группу телеги добавляли?; 2024-03-14T16:53:02.344Z,2024-03-14 16:53:02,,Вопросе о группе
417675,2024-03-14 16:50:21,user,Всем привет; 2024-03-14T16:53:21.109Z,2024-03-14 16:53:21,,Приветствие
417675,2024-03-14 16:50:21,user,ооо а народ уже тут. всем привет,2024-03-14 16:53:23,,Приветствие
417675,2024-03-14 16:50:21,user,привет; 2024-03-14T16:54:06.042Z,2024-03-14 16:54:06,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,33 участника,2024-03-14 16:54:22,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,еще 6 минут есть,2024-03-14 16:54:58,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,Простите первый семинар просто,2024-03-14 16:55:06,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,на прошло семинаре было 200,2024-03-14 16:55:19,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,Тут все Front End Developers?,2024-03-14 16:55:39,,Вопрос о профессии
417675,2024-03-14 16:50:21,user,nope\,2024-03-14 16:55:48,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,тут все,2024-03-14 16:55:52,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,джуны?,2024-03-14 16:56:15,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,А кто то есть из Узб?,2024-03-14 16:56:25,,Неформальные нейтральные сообщения
417675,2024-03-14 16:50:21,user,может сделать группу по спец ?,2024-03-14 16:56:31,,Вопросе о группе
417675,2024-03-14 16:50:21,user,какой то странный метод обучения. Организация семинара на 250 человек,2024-03-14 16:56:50,,Вопросы о ходе обучения
417675,2024-03-14 16:50:21,user,позже поделят на проф,2024-03-14 16:56:54,,Вопросе о группе
417675,2024-03-14 16:50:21,user,ООО ассаламу алейку,2024-03-14 16:57:02,,Приветствие
417675,2024-03-14 16:50:21,user,всем привет; 2024-03-14T16:57:20.547Z,2024-03-14 16:57:20,,Приветствие
417675,2024-03-14 16:50:21,user,Автоматизация тестирования,2024-03-14 16:58:07,,Технические вопросы
